2 5
81852941 49258961 fGvaFK721Y5MH
41030745 87294307 B8XMzKdw3Mfspq3Ib2ZGLq5mduxELSXw9odYz
03272365 09076945 NYlW9wVuP89ijU725
27052741 01032325 PSBcNMZQjQ7mZ4zOZs12luboZ07G7ojOriV8VQlsXwP8hEt
29036965 03236941 JuzSbCLm92dabyNA9i7WrMl0nUvCDEvyT6xYDS9yFwtwd
01850509 07078961 JyT4detgjA3shi1EDU9W1WPerI1gVuz4fgpOvqde3
01814727 61674307 xKzUdUvuPYP
83832961 21876181 jyROHot4d0RuhwXmrYlu9ozIv65ANCduhEdavUts3gBezUb
29456567 49810589 h0xcJcNyns7gdMlevOJkLat8HatI1Up
69290749 61096763 B
29092743 03278143 NgX2XCjQn
25854961 81892301 bqhelqXI1eHanMB4NCVmZW3OL
67498567 45014367 BwN6teRsLGvIpsd4X8TUr
81478743 49090147 Punw5i9o7
05832525 09016569 NU7IJ2xunAnwLGV6XmJGXMh4lyr4hQPqLgdsloByN
25816125 85654121 ZSHsdub43AZAha90XWfUl2ZmpizqZ
27256765 85892503 riF8ZYpA52xcDAroX6RojMdORCTaxuny7MZ4dM9yZ
25834907 83892583 NSnGXY5IDSdqFUVqhCDIrenOJ4Z4XmpQnqdKx
23058389 67038725 toR0REXwXy9wTU1q789SRwreN6jij2BQ7krG7
09654989 67632121 jOpgD6BkHaTIxeXqhALopynmPefgHYTI9
01434501 89898521 9y1aLaxS9SdANuvuh8hqFmTqtupk9qn6jY5
87230349 01676907 ZkvwLojgLY5A1Wd2NSnuna7
41298985 45276365 xKRatKd4TQdyzEhwLSBojGJQparmtuDezQPGf
43850723 01470563 7cPQDkfMvGP
65872383 27294589 LsBS16hS5Cfsb8lwlKT
09852785 47438747 5OREXeL
23654541 25654745 3yVQzSxu9qB6fsFmh
67014787 21656389 fu9SbSbSBSzS7qV83gH2pkfknqbcFOfWHo1EpUtSP4l
61856169 83498927 vmlKbyXirwv8fuBEfgxcL0hersvK1SvIfCLavuveXWX4RsdYH
01850327 67210703 VKrsRk3iJYxUFsvEnIVaxYRyVSbKz6xCz
81054721 23636329 P2RwpOds9y38fiBghWxGVeZaD2VGRQ38BO3kt6r
45856561 25854107 JAla12DwXITklYj
03476783 41652969 fkV
61296749 61638769 PotCru9cdCHYZePMnk94VS5KP6DWhsnyjIB
21092583 45094349 LCvSlUxeFcFOXUZgjGdOD
69014581 69494169 ZG1qJ0tyRQlUvANybEnCjK7olsZw5KPwF
05036143 25878925 PY1KR4nCpGDgruDQ7WneZM5M7a7AL4d
87078123 85630107 50p6D0XON2XAHYfGRYZWN
09258381 67418163 tqhep2rIzkx8P
09058741 29438945 fmR0VG1cfKXGl6PGXGhIpmXS9GtIfo5sHGJS5Q5GPypUN
41450743 63054183 BgDYP87
43054563 09236761 v0DEH
85816741 49254125 hmryVoh
07654547 41894925 XmFi7uVw90fS5kBqZOzmP
23854981 65472563 BedIpc5MLkbkR4BCdw709ClWjepSDapEt
87030949 85658941 FoNq5SBUD
43438381 65892327 d8lkPcDW3uL8hs1kt
61618363 63012941 j6zwRUpKxyDWHSPex05YF
41452987 43412325 9q789aLczyPcHo38JoP8RILAlwj6b4HS54DUB
21092961 29650947 Hi1g7
27278569 83012321 J
83072387 41430987 xO3qp
47474983 23050141 FCZ47
67212145 87614525 r61CzYt8bQT4dyLclYLYbO1kpSTOn85wJSzEneL4DQjy7mber
83614585 47432127 1yfEXS76jsvcR27INKXoh
83276743 89278709 LOzYhiRWhwRwnqbEhMRK7iXw32BiZAf
67054509 61056769 PUdE1SXgx6nUJmDgLCvU3sbMdOXQn
87272301 49296927 D4R
25678589 89634189 PqVwbIZutilkdIBAJSDYJS5SHa9wfEnAbulUpGB
69850727 65036701 P8TIHOdcfun
01272741 25234101 vMfIzcfIPQxqD6zuF2z4xsv4PWpUXiTiBQt
05036765 01898945 lg1aJSNyVmb29CzKBaLwDkZgLe5sFIRKB4XIRgdqRQZiH
89636527 43274721 RaXYZqrUxAzoViDYrWjIh
07250707 81690543 vS7k9srS1mTqfGNixwR0NWbMzOf
01856989 47618929 L4TMjYt2p4r
45476925 07438145 TwJcjoDwHengvivefi3kdU9anYTaTy3U3aB8tW7kHazKl
41218301 05432185 l
03476523 65678361 fyjEFgf2jkPIhef0BI9
09270187 63458363 z6TYtCvev25aXw9iDor2vWRmbmxsPQt6JONYfA1k5s9efcF
07492949 27894547 N6n4n2rYTEJGjwtA16v
61470541 87476549 jcneVIZKBGXWTUVQzirqJ8p
69094941 27250307 raR634jyR0LqxEFCLQXeNizg72jgR4j8JOpeTGvEL6d
07092149 43830965 VIHM9MnA3IbmNyVYbQZm3wHyB
61096583 41018309 5u7ADoRsfqxeLapKBGX43YJcjALgFeLWTsHItAh81
03038589 25090527 VOLsFihebW1Ktmf4vybAD45W3ULWJQnS7UNKtgPoTup8z
41632509 09850561 rmDqROX298V096V49s7sJaDEpqD
07270905 29238347 h2dSHsNmr4r2PUDINa7Khul2xoJOh0P4jwdYtChSDeLy5
69814743 23476165 tyb
61816105 45610301 v2l4BMFG1OJ8XSjIJYfYriBCZm1gd
49654309 27418727 BY1WPWR
61810767 47418567 DEnK7mJ
81492147 07478741 TytshMjSLkvwBYx0Dg7uhe5uJuVwdqHErKlUdCxwdKNMrYbut
27818909 07412983 lERwTcloXiXQbULwrov2detgZwPyRk9
27632101 09094969 5KHSFSTsDirYhiNaV2HsxkX4ziXo5a7AJML8TsrARcBqP0Jk5
61298189 05850387 j
03610147 81870581 z4dC9upCXk9SdgPIno50b
67638505 03054927 FC78ByJYTuhcroNE18tcLe5QhONMbGZgJ63mZgzYZwhKp
89076707 61472185 lAHMh8jQFYvyvEjarKzQjEBoPihuxmtwPADS9S7c5
21014727 87070745 L21Mfg5EBkBopo7cFgNqn4tG1o1O5SD
09856387 21298381 1mHavsVIRKbUzQbqD
63616989 45018505 x0pYP6nsrQTET4DCj
87874789 09018361 LgBEXUL2Jalkr2RW7ElMNkfqto3q3aHmDcT03cVobinoh
49678327 27498921 DwBCvEX
63878581 67032983 5
29818989 23830745 DMt
85872909 29834347 T8zoz
49010545 87492987 l8R23y9MbKf6vO1qf6HWbipGZeViL
65892327 27010189 zM7OPCX8LEDuDct4Xq90d8b29qjqduvm9
85434189 49618947 X2T09q3MvIZaPe9iD2BGB
85270101 67032903 PIj8h0FApqNyz4JO5afu9G52ZcLGpq38D
25210329 81490709 POt8jUVKX
89070365 47418385 b
21696743 09236303 VyTK3mfmhunuN
85670123 69256103 3k1
03050103 61232327 BWPc3mT
07496943 01410123 tUj
69452143 27214543 94NqlspONwVyBG7gXw9414HcjqNg38j
03812107 65258165 3gFadiZGB2pi569AnIbiDQpurm1eBspGv8LMj
25654543 61456185 psl4fY9clOdkp
27236723 85272947 z6zAhKvYl4xKZyjs7mJejOJUPmHGNWv45mbIRSRobKJ
41456569 69810969 ZwpGroRwNEdI7QVuNWbQz45ilmP8fAdyH0VOnynwDO3S7cl
03492981 43212907 3KLg3mJ8ZCDYDCtsTWf0p
83258527 83694983 dyp4XEv6Vm9WPyhIhw1UHiRwFsx8JCHadQpCHI5IzMJMR
85054941 27816709 lApUv
43078545 01678365 VWNCLyxWlA9qHw56PofW90h8V0ji78Pk52xIX0rcp
01296543 41454165 pClwzaD0V03iB05qJkdwt8X0nGBcX8N
89238707 89494905 XwhE3Opwn0beD
61634541 03834969 ZUdubKD8x07KPULulI9gV6xiv89alcN6NQVyTMzQ5Kd
45818345 41610185 N8PwvmV4BA58voNude5mVWhg1GHGXWf
67432389 61810369 r03KHWlqZin4venQP6B
81210561 07290365 tsju9O3G5CN4xOZItin6Zgni7alch
61010383 03294703 L8VMBy54jyNEdMFqJWjUlqdgZAL
87494329 47232343 7KBm76lET2FgvmXABwPApWlOHeB0DsvYXu1Yrujw76xgrkhij
25832729 83658567 5QR
03270329 21216565 nU9Wr4hklAxebmtgRSL
27412707 41612549 ds107GrqTOtQ9WlsPO7q7wzMNWRu1
87658725 41218343 ZiLARezYxKfqn
05656987 65032925 vgVAXuTIzuVQF6jkN6XqlA7
45478543 43032509 t090nGfWPCPaJ6tOJIdOxUHm947Q7WjavM9iZIzaH
69414989 09672129 dgBKngtslWhyJc1mpGhK5WTC9WbcbGHgl0nc1mZ
21076323 49250963 dglALStS7uL05ylGjgfqbcn6ZoLk92FehCLep4jkx
27676387 43812129 XCrs3QTu3UR0RAd8LS7mrwBc1gp
85636525 05092905 z67C3Cr4l0fcrsbWzODiTqPOfyjctYxYxyJ
61690945 03856587 3cdAr0vwPid
27010707 63232509 VG54V4927m9gvqHqlUj61WbqXYbgL6XAtOP
83698143 63834389 LKdI9mDIpMXmTUf2X
63014727 03632123 vWvM9iLur21IXUhKJovSNaXEHM1sPqpwxwPCdc3Wp
49012921 03818385 t2Tm30HqxCTKHEZsvgRGRivWjs5sZaV8b
89032725 61816163 xyzYhoDAhiX2jWZCHGHg9
09852709 43016141 nCXgnQxEzUnmJ
01618509 69230507 p0xuf2x
87872541 69858121 92HUzWxApYRyRgN0fKTe1y5ohEZibKBqnqj6R
81472587 65474363 PsVQR
09450161 45652765 PulshodG16TwXYFars5StwhaHwFKbiPIPmziNcv
61498187 47612383 jexa34rclwJ
21672365 65010983 dWnOxAhAloBsn8j6b2TIHOBOVE9Ota7uPqNkDu9Y9yn
43210949 43070567 LInCBWxSdQF
85836741 09018589 16nCBIbSbUvYtOB8z8velS3cJc3oB6hw5wn85ELMfkjCZ
09498101 81696905 NkdAbmLaDCpMl2R6BKBAt0jSN
03454747 21092927 fsFQF2fax03shiPKp6RyZs3spWXYzIjEj470nMps1
1024 512
deny 44846620 51133739
deny 02606404 93911393
deny 82286402 79931339
permit 02826606 97775791
deny 24824468 31537757
permit 88882606 95337119
deny 24486060 31179131
permit 60286002 13751755
deny 08440886 99175159
permit 08642422 51953995
permit 46622484 71951319
permit 60822226 37791951
deny 44642424 77915977
deny 80082668 79519531
deny 86024200 59713979
permit 04488226 37399957
deny 00460640 37931357
deny 04480064 13937755
deny 82402208 19933113
permit 40046062 37115755
deny 62046482 31919357
deny 62448828 91951999
deny 26446284 99515997
permit 68444428 59153111
deny 20206684 53573353
deny 68482462 97355555
deny 82200464 55915331
permit 84208646 93917355
deny 88662246 91971599
deny 26660846 73937337
deny 44604024 57559599
permit 42820242 31979155
deny 88048082 33355351
deny 46628004 31553755
permit 80888200 93959335
permit 68800402 13915979
deny 02886080 31917993
deny 26604686 95715135
deny 82626066 71957117
permit 66862660 13371195
deny 82820624 37799591
deny 68068204 55559175
permit 46808802 97775135
permit 42286608 93113739
deny 84404624 73551711
deny 40248486 51717737
deny 20888426 19395795
permit 62046482 55713591
deny 86400260 55517379
permit 40208220 17537131
deny 88242020 57557597
permit 62060262 57951791
permit 88268806 97511373
deny 86404026 91935951
deny 68880448 73715939
permit 22868860 99351599
deny 28084480 31551713
permit 00406608 55137993
deny 08888802 93719357
permit 66226686 31591199
deny 88424626 35399771
deny 26844802 19913737
deny 28086802 11959339
permit 26280040 31575737
deny 84484808 71559999
deny 64846622 71591395
permit 04808086 77533751
permit 48440408 11791953
deny 40462684 75151117
deny 86848008 79137395
permit 68862488 35573735
permit 26624440 77111593
deny 48844606 39957991
deny 22468626 75731193
deny 26462406 55351135
permit 28262844 19777713
deny 64820488 71919735
permit 84248086 55137553
permit 06068248 11799553
permit 42648228 37577597
permit 06048662 53599313
deny 84462822 31571919
deny 06048084 33553771
permit 24262260 77519733
deny 62020406 73519193
deny 02040468 31993513
deny 62064846 57351739
permit 26840402 53157593
permit 28466006 35113737
deny 22082206 37995319
permit 20668862 39739519
permit 46604066 13335531
permit 66282800 33775133
permit 88448026 33595797
permit 86400622 77397351
permit 08286000 59119553
deny 28602424 37335571
permit 48840006 71197993
deny 66206602 99559195
permit 08086082 99519399
deny 68688064 13975993
deny 86628606 77935159
deny 80286008 71377537
permit 88040406 39759793
deny 28028602 95153759
deny 22806202 35351397
permit 68804040 95131193
permit 20268622 37353775
deny 00684488 15131393
permit 02284266 99591515
deny 86082808 39739357
permit 20008806 55955555
deny 42660286 75575377
deny 64626288 37995751
permit 62026260 19339335
permit 64846228 97317599
deny 40288260 11737991
deny 08648884 93159973
deny 40608424 17379773
permit 62068608 35337911
deny 62684460 75539737
deny 04662248 55797553
deny 80820062 75917935
permit 68468862 33519577
deny 42866288 33353517
deny 46646042 73913133
deny 48666842 17173317
permit 28482686 35195397
deny 26648444 79931591
deny 42608006 73313915
deny 40642468 91339391
permit 26460082 17715553
deny 66800444 31951737
permit 80608026 57353551
deny 44448208 91173751
permit 04640640 57511175
deny 68604600 13395979
deny 88066662 93357371
deny 62222802 11359557
permit 46042666 71719733
permit 64260406 55311591
deny 46260282 55511135
deny 60420286 11511339
permit 02240848 95755513
deny 20860088 53979137
deny 80420802 97355775
permit 48246608 97951591
permit 40462026 39931955
permit 82202802 19373737
deny 02880646 73315977
permit 40086022 15331531
permit 06862644 79133139
deny 82448868 97997131
deny 46824424 37951775
deny 04048442 71533375
permit 48008684 59935751
deny 68280842 75711193
deny 48282684 13759753
deny 22826268 53971559
permit 66628840 75797351
permit 00288640 79379319
deny 26846820 91519935
deny 08028408 99775771
permit 26040868 15193377
deny 88460460 97777117
deny 80620066 95591719
permit 46226048 75797717
permit 64864886 73575333
deny 60862220 75599553
deny 24640244 79793155
deny 42884824 97553971
permit 60606040 73555775
permit 64642288 13311993
deny 44046602 99739379
permit 28008440 99559713
permit 02408288 51739951
deny 88482626 33939197
deny 44464080 11993177
deny 24840246 71315933
permit 66488444 93119979
deny 62666682 99735179
deny 24024004 71977997
deny 84020688 37951751
permit 60026082 71791913
deny 08084686 19399399
deny 66204644 51595193
permit 04642648 37957953
permit 02606022 91771751
deny 06244660 17751995
permit 42442628 51311573
permit 24482626 19971535
permit 22648248 95175399
deny 60666822 71359993
deny 24048646 37397513
deny 02200262 15955377
permit 42662288 91557357
deny 66826466 17935395
permit 88606664 75759113
deny 08280882 17753993
permit 24606644 71915335
deny 02880688 99351135
permit 06846844 15335335
deny 66420206 75195535
permit 00000664 95779799
permit 86226884 99117951
permit 00242082 39775351
deny 82446420 11579951
permit 84086464 11395531
deny 46826064 37977937
deny 02620262 19133975
deny 82686846 79977577
permit 28062406 93599359
permit 42022842 51379157
permit 64400280 53593317
permit 68682060 13791931
permit 88400024 91713793
deny 24082426 57593795
deny 82064488 59957751
deny 28264020 33959113
permit 82604028 51935571
deny 48060646 79977173
deny 00820688 53997191
deny 84684048 57575515
permit 22820446 93717173
deny 28060200 51117995
deny 68486644 95319177
deny 08066644 77511193
permit 82620600 15715119
permit 88022822 33333179
deny 42482260 31535977
deny 80680428 97171599
permit 00060864 57573553
deny 04066406 77799353
deny 28684480 31919573
deny 82820068 79317359
permit 88242600 35199595
deny 22060866 19191753
deny 60264800 77357915
deny 24222488 59753759
permit 88420840 55119753
deny 60628424 39993179
deny 48422820 15931951
permit 26082664 57915379
permit 08684022 19739199
deny 44082664 75753137
deny 40824002 57317377
deny 86066228 13917517
permit 86220820 17319937
deny 22804680 51197993
permit 62060868 39175755
permit 64846884 51959579
permit 84086488 39793559
permit 44046244 11577759
deny 62808408 95999519
deny 22062808 19337373
permit 68268202 99331995
permit 24884824 53375397
permit 28286082 39919139
permit 64288084 95337579
permit 42022062 97991353
deny 08406006 79333753
permit 88820880 31777957
permit 66628488 37391993
permit 08222480 19791391
deny 64484888 95599777
deny 42600000 95919719
deny 24062484 51111155
permit 62282882 31353579
permit 88286200 91739751
deny 40482222 11771553
deny 22866284 91317753
permit 62440626 73395737
deny 68620220 11197353
permit 20406604 75359115
deny 26864462 13913979
permit 80802622 17597751
deny 40080040 91915999
deny 62420446 19395975
permit 02082262 35359375
permit 46628868 17937375
deny 84022420 15951117
deny 66848662 91355517
deny 62620200 73197597
permit 84262646 95977799
deny 84880860 51753119
deny 64226804 55917551
deny 24040064 99177915
permit 22064428 97713337
deny 48624642 57135735
permit 20422000 11773113
deny 46604624 99735537
permit 60064826 57959399
permit 40446680 95751797
deny 66622246 79913997
deny 80428404 75315335
permit 44060602 71539799
deny 84440266 75399333
deny 68060022 13979737
deny 68086248 55391375
permit 88240662 77335331
deny 66020644 57793359
deny 64868206 57195155
deny 80486006 39375793
permit 48862864 55791753
permit 22266640 51739791
permit 28468468 55991951
permit 62282066 75559557
permit 62824886 33317757
deny 04806488 99551397
deny 48464086 59533179
deny 82602488 97133755
permit 42088402 79975395
permit 60088864 57175975
deny 42882680 75779995
permit 24428082 97575393
permit 66446808 51519939
deny 22606282 57937979
deny 80860468 17151917
permit 40066444 57739155
permit 68628602 57797515
permit 02606422 95331113
deny 04806628 97799971
deny 08268866 99315191
permit 42628846 31773119
deny 20226642 79333579
deny 68880280 99171735
permit 68408086 57975933
permit 46684620 99931577
permit 62044044 17575397
permit 46066244 39159719
permit 24240088 97959557
permit 42846662 57577359
deny 22602048 39357995
deny 60682828 19715719
deny 26260866 91153197
permit 86602288 91511771
deny 26228880 57151375
deny 82826060 11533397
permit 44262840 17119937
permit 46848860 11171317
deny 08648886 93931155
deny 20822888 55759557
permit 62040486 19159377
permit 68600028 35577539
deny 42462086 35337391
permit 68446424 31799373
permit 02800086 75791539
permit 84828408 17733771
deny 26020020 59379795
deny 48842286 71799799
permit 68262686 59555179
permit 66022442 13755399
deny 26008460 77157155
permit 24222280 77793799
deny 00486442 11553753
permit 28206404 71933177
deny 44064060 79513993
deny 26280206 77713915
permit 20880268 11599559
permit 00224228 31139599
deny 06666646 93353739
deny 80240602 97111977
deny 64806480 55759975
permit 28408064 75353951
deny 26002208 99393559
permit 40448026 53399175
permit 84048662 19333171
permit 44022848 51519191
deny 60002000 95111117
deny 20624666 77199997
deny 24224420 17991771
permit 06482068 75393797
deny 64222820 99799797
deny 62868620 13337757
permit 44280624 17537755
permit 88848622 39139519
permit 04422084 39317339
permit 64468084 37319575
deny 02488042 37317733
permit 28604440 53515753
deny 80422404 19939197
deny 06042444 79551539
permit 46242606 53753513
permit 80408600 57739793
deny 28442648 17175771
deny 20684642 55971917
permit 04666086 99199395
permit 68460606 13937937
deny 04448882 11953937
deny 60604680 71951193
deny 60880248 71371917
permit 20642626 11575315
deny 08686286 17911955
deny 68244444 97171195
deny 40640006 55711797
permit 44888882 71937713
deny 86686820 19997999
deny 42088886 59517151
deny 82266606 11553997
permit 66484864 53795755
deny 20448624 59535357
deny 44460042 51331791
deny 00824208 15931115
permit 48006868 95933735
deny 26866044 79997193
deny 20220484 31933957
permit 84020242 75913799
permit 86066840 95191753
deny 26042042 31995995
deny 06220066 55713155
permit 40826802 13993931
permit 84402620 57171193
permit 44046488 51753777
permit 22486444 11537379
deny 42262264 77571753
permit 04028842 51335759
deny 04026842 19757371
deny 26066486 57771573
deny 66448606 19515997
permit 68866662 53197137
deny 28484820 55555375
permit 24646600 51151193
deny 68824048 15579993
permit 26266802 17517137
deny 64002406 93915955
deny 42082428 31953353
deny 84604206 19911579
permit 04084266 71593139
deny 42448804 79911117
deny 02822888 53111117
permit 04804406 31593557
permit 68248802 71131319
deny 06040822 31177717
deny 64460222 57177179
deny 06482688 53133915
permit 46846826 91157137
deny 02400088 93137999
deny 66402880 77915955
permit 06644808 37755351
permit 86406084 37151771
permit 80062288 91159715
permit 46268426 13151933
deny 64022484 37397553
permit 24026624 55159133
deny 88468086 19177319
deny 46248262 71539793
deny 46848844 99777391
permit 88002020 39353939
deny 88244428 93579173
deny 04260486 13519799
deny 68460666 33115915
permit 46420480 73753579
deny 80446202 77577395
permit 68488226 95317773
deny 80024002 57375319
permit 82600284 95913355
deny 06026280 99513953
deny 24404044 73535315
deny 64264862 13159795
permit 06868860 75577713
deny 02880288 13959779
permit 22884664 79311755
permit 66242484 95793513
permit 24222860 11735559
deny 86204848 15373577
permit 28068088 55195351
permit 46004046 71177913
permit 84404246 97915953
permit 40246806 13731177
deny 66440842 59137977
deny 04046642 15793593
permit 22268224 75951311
permit 40488666 75959991
deny 20048020 19759357
deny 64862646 37311957
permit 22068004 93971951
deny 86024444 57175113
deny 04842422 39333957
permit 04226848 55337377
permit 06602600 93379777
deny 68604088 53999795
deny 88082266 99991179
deny 22648048 57911137
permit 08482460 57533579
deny 44848466 57157777
deny 84822424 59199375
permit 62688226 37339711
permit 86228448 79371993
deny 84004662 77139119
deny 04066064 13931113
deny 06282422 97319973
permit 42604006 31357955
deny 44646240 31175917
deny 22686804 31373739
permit 26264408 95733771
permit 80464802 15551731
deny 48840062 77999739
permit 28284400 15595913
deny 46680028 55517177
permit 08046208 75731935
deny 80008646 75173173
deny 64240424 55575317
deny 64248400 35973977
permit 28860002 39399953
